,tconst,primary_title,original_title_x,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,release_year,genre_ids,tmdb_id,original_language,original_title_y,popularity,release_date_y,title,vote_average,vote_count
0,tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248.0,26,2012-12-31,Foodfight!,45000000,0,73706,2012,"[16, 28, 35, 10751]",116977,en,Foodfight!,4.705,2013-05-07,Foodfight!,2.1,46
1,tt0326592,The Overnight,The Overnight,2010,88.0,MISSING,7.5,24.0,21,2015-06-19,The Overnight,200000,1109808,1165996,2015,"[9648, 35]",308024,en,The Overnight,6.5760000000000005,2015-06-19,The Overnight,6.0,200
2,tt3844362,The Overnight,The Overnight,2015,79.0,"Comedy,Mystery",6.1,14828.0,21,2015-06-19,The Overnight,200000,1109808,1165996,2015,"[9648, 35]",308024,en,The Overnight,6.5760000000000005,2015-06-19,The Overnight,6.0,200
3,tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886.0,17,2013-03-22,On the Road,25000000,720828,9313302,2013,"[12, 18]",83770,en,On the Road,8.919,2012-12-21,On the Road,5.6,518
6,tt4339118,On the Road,On the Road,2014,89.0,Drama,6.0,6.0,17,2013-03-22,On the Road,25000000,720828,9313302,2013,"[12, 18]",83770,en,On the Road,8.919,2012-12-21,On the Road,5.6,518
8,tt5647250,On the Road,On the Road,2016,121.0,Drama,5.7,127.0,17,2013-03-22,On the Road,25000000,720828,9313302,2013,"[12, 18]",83770,en,On the Road,8.919,2012-12-21,On the Road,5.6,518
9,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300.0,37,2013-12-25,The Secret Life of Walter Mitty,91000000,58236838,187861183,2013,"[12, 35, 18, 14]",116745,en,The Secret Life of Walter Mitty,10.743,2013-12-25,The Secret Life of Walter Mitty,7.1,4859
10,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116.0,67,2014-09-19,A Walk Among the Tombstones,28000000,26017685,62108587,2014,"[80, 18, 9648, 53]",169917,en,A Walk Among the Tombstones,19.373,2014-09-19,A Walk Among the Tombstones,6.3,1685
11,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338.0,34,2015-06-12,Jurassic World,215000000,652270625,1648854864,2015,"[28, 12, 878, 53]",135397,en,Jurassic World,20.709,2015-06-12,Jurassic World,6.6,14056
12,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787.0,16,2011-10-28,The Rum Diary,45000000,13109815,21544732,2011,"[18, 35]",23514,en,The Rum Diary,12.011,2011-10-27,The Rum Diary,5.7,652
13,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570.0,4,2012-04-13,The Three Stooges,30000000,44338224,54052249,2012,[35],76489,en,The Three Stooges,9.357999999999999,2012-04-13,The Three Stooges,5.1,215
14,tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",5.5,106.0,65,2010-12-31,Anderson's Cross,300000,0,0,2010,"[10749, 35, 18]",324352,en,Anderson's Cross,0.6,2010-05-20,Anderson's Cross,5.0,1
15,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366.0,15,2010-11-24,Tangled,260000000,200821936,586477240,2010,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407
16,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792.0,14,2012-03-09,John Carter,275000000,73058679,282778100,2012,"[28, 12, 878]",49529,en,John Carter,18.549,2012-03-09,John Carter,6.1,3338
17,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,5.9,91546.0,51,2010-07-30,Dinner for Schmucks,69000000,73026337,86796502,2010,[35],38778,en,Dinner for Schmucks,6.632000000000001,2010-07-30,Dinner for Schmucks,5.6,920
18,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256.0,32,2010-06-11,The A-Team,110000000,77222099,177241171,2010,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703
19,tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",5.9,53649.0,81,2012-08-31,The Possession,14000000,49130588,82925064,2012,"[27, 53]",77883,en,The Possession,8.978,2012-08-31,The Possession,5.9,918
