,id,rating,release_date_cert
0,116977,PG,2013-05-07 00:00:00+00:00
1,308024,R,2015-01-23 00:00:00+00:00
2,308024,R,2015-01-23 00:00:00+00:00
3,83770,R,2012-12-21 00:00:00+00:00
4,83770,R,2012-12-21 00:00:00+00:00
5,83770,R,2012-12-21 00:00:00+00:00
6,116745,PG,2013-12-25 00:00:00+00:00
7,169917,R,2014-09-19 00:00:00+00:00
8,135397,PG-13,2015-06-12 00:00:00+00:00
9,23514,R,2011-10-27 00:00:00+00:00
10,76489,PG,2012-04-13 00:00:00+00:00
11,324352,,2010-05-20 00:00:00+00:00
12,38757,PG,2010-11-24 00:00:00+00:00
13,49529,PG-13,2012-03-09 00:00:00+00:00
14,38778,PG-13,2010-07-30 00:00:00+00:00
15,34544,PG-13,2010-06-11 00:00:00+00:00
16,77883,PG-13,2012-08-31 00:00:00+00:00
17,39254,PG-13,2011-10-06 00:00:00+00:00
18,227156,PG-13,2014-08-11 00:00:00+00:00
19,10193,G,2010-06-17 00:00:00+00:00
20,72976,PG-13,2012-11-16 00:00:00+00:00
21,283350,PG-13,2015-05-21 00:00:00+00:00
22,283350,PG-13,2015-05-21 00:00:00+00:00
23,417859,PG,2011-10-28 00:00:00+00:00
24,241224,,2013-09-29 00:00:00+00:00
25,241224,,2013-09-29 00:00:00+00:00
26,241224,,2013-09-29 00:00:00+00:00
27,109410,PG-13,2013-04-12 00:00:00+00:00
28,87827,PG,2012-11-21 00:00:00+00:00
29,29427,R,2010-02-26 00:00:00+00:00
30,156022,R,2014-09-26 00:00:00+00:00
31,1771,PG-13,2011-07-22 00:00:00+00:00
32,189,R,2014-08-22 00:00:00+00:00
33,280381,R,2014-01-11 00:00:00+00:00
34,43593,R,2010-08-20 00:00:00+00:00
35,44754,R,2011-09-30 00:00:00+00:00
36,264660,R,2015-04-24 00:00:00+00:00
37,59108,PG-13,2011-11-04 00:00:00+00:00
38,41513,PG,2011-07-29 00:00:00+00:00
39,27582,R,2011-01-28 00:00:00+00:00
40,270487,PG-13,2016-02-05 00:00:00+00:00
41,44048,PG-13,2010-11-12 00:00:00+00:00
42,44048,PG-13,2010-11-12 00:00:00+00:00
43,44048,PG-13,2010-11-12 00:00:00+00:00
44,8967,PG-13,2011-05-27 00:00:00+00:00
