,id,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,vote_average,vote_count,poster_path,genres_id,genres_name,spoken_languages_name,production_companies_id,production_companies_name,production_companies_origin_country
0,59991,,Horowitz in Moscow,0,2000-04-04,0,85.0,en,Horowitz in Moscow,4.8,2,/i667LDDHG9j5gR3xzeVXQEfnEmw.jpg,"[10402, 99]","['Music', 'Documentary']","['English', 'Pусский']",[],[],[]
1,10559,tt0186151,Frequency,31000000,2000-04-28,68106245,118.0,en,Frequency,7.2,1007,/eu3Hrjj271dnBdNAF0HqfmwWASt.jpg,"[80, 18, 878, 53]","['Crime', 'Drama', 'Science Fiction', 'Thriller']",['English'],[12],['New Line Cinema'],['US']
2,786,tt0181875,Almost Famous,60000000,2000-09-15,47383689,122.0,en,Almost Famous,7.5,1594,/tl1Yv7lWq3RUPq3Q1nT5oRFJsv8.jpg,"[18, 10402]","['Drama', 'Music']",['English'],"[5, 485, 7]","['Columbia Pictures', 'Vinyl Films', 'DreamWorks Pictures']","['US', 'US', 'US']"
3,705,tt0042192,All About Eve,1400000,1950-10-06,150438,139.0,en,All About Eve,8.2,864,/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,[18],['Drama'],"['English', 'Français']",[25],['20th Century Fox'],['US']
4,8007,tt0159273,Behind Enemy Lines,40000000,2001-11-30,91753202,106.0,en,Behind Enemy Lines,6.2,850,/2IVvws0ZuvOX4V4P6sisl6oVlj0.jpg,"[28, 18, 53, 10752]","['Action', 'Drama', 'Thriller', 'War']","['Český', 'English', 'Español', '']","[1302, 25]","['Davis Entertainment', '20th Century Fox']","['US', 'US']"
5,36586,tt0187738,Blade II,54000000,2002-03-22,155010032,117.0,en,Blade II,6.4,3005,/vulF0iqX5z7AW1pdZ572zwsMRMB.jpg,"[14, 27, 28, 53]","['Fantasy', 'Horror', 'Action', 'Thriller']","['Český', 'Română', 'English']","[19551, 12, 421, 5611, 11321, 11322, 11323, 11324]","['Marvel Enterprises', 'New Line Cinema', 'Amen Ra Films', 'Milk & Honey', 'Imaginary Forces', 'Justin Pictures', 'Linovo Productions GmbH & Co. KG', 'Pacific Title and Art Studio']","['US', 'US', '', '', '', '', '', '']"
6,2501,tt0258463,The Bourne Identity,60000000,2002-06-14,214034224,119.0,en,The Bourne Identity,7.4,6295,/aP8swke3gmowbkfZ6lmNidu0y9p.jpg,"[28, 18, 9648, 53]","['Action', 'Drama', 'Mystery', 'Thriller']","['English', 'Français', 'Deutsch', 'Nederlands', 'Italiano']","[33, 7384, 7385, 11345, 862]","['Universal Pictures', 'Hypnotic', 'Kalima Productions GmbH & Co. KG', 'Stillking Films', 'The Kennedy/Marshall Company']","['US', '', '', 'CZ', 'US']"
7,9573,tt0309377,Blood Work,50000000,2002-08-04,31794718,110.0,en,Blood Work,6.2,456,/rtpa9neoVD6IToCcAyPIAaFjb6y.jpg,"[80, 53]","['Crime', 'Thriller']","['English', 'Español']","[171, 174]","['Malpaso Productions', 'Warner Bros. Pictures']","['US', 'US']"
8,11049,tt0368667,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,4000000,2003-05-28,0,68.0,ja,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.7,193,/AsvPgdcSlHocAbMp3yGZXjPiKKF.jpg,"[878, 10402, 16, 12]","['Science Fiction', 'Music', 'Animation', 'Adventure']",['No Language'],"[5542, 3117]","['Toei Animation', 'Daft Life Ltd. Co.']","['JP', '']"
9,839,tt0067023,Duel,450000,1971-12-25,0,90.0,en,Duel,7.4,976,/tMXG6QQ4dcunbxkHlA7Pek9LZM7.jpg,"[28, 53, 10770]","['Action', 'Thriller', 'TV Movie']",['English'],[26727],['Universal Television'],['US']
