tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross,year
tt0315642,Wazir,Wazir,2016,103.0,"Action,Crime,Drama",7.1,15378.0,Wazir,Relbig.,1100000.0,,2016
tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886.0,On the Road,IFC,744000.0,8000000,2012
tt2404548,On the Road,On the Road,2011,90.0,Drama,,,On the Road,IFC,744000.0,8000000,2012
tt3872966,On the Road,On the Road,2013,87.0,Documentary,,,On the Road,IFC,744000.0,8000000,2012
tt4339118,On the Road,On the Road,2014,89.0,Drama,6.0,6.0,On the Road,IFC,744000.0,8000000,2012
tt5389486,On the Road,On the Road,2015,39.0,Documentary,,,On the Road,IFC,744000.0,8000000,2012
tt5647250,On the Road,On the Road,2016,121.0,Drama,5.7,127.0,On the Road,IFC,744000.0,8000000,2012
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300.0,The Secret Life of Walter Mitty,Fox,58200000.0,129900000,2013
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116.0,A Walk Among the Tombstones,Uni.,26300000.0,26900000,2014
tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338.0,Jurassic World,Uni.,652300000.0,"1,019.4",2015
tt0372538,Spy,Spy,2011,110.0,"Action,Crime,Drama",6.6,78.0,Spy,Fox,110800000.0,124800000,2015
tt3079380,Spy,Spy,2015,119.0,"Action,Comedy,Crime",7.0,213908.0,Spy,Fox,110800000.0,124800000,2015
tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787.0,The Rum Diary,FD,13100000.0,10800000,2011
tt0376479,American Pastoral,American Pastoral,2016,108.0,"Crime,Drama",6.1,12898.0,American Pastoral,LGF,544000.0,,2016
tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570.0,The Three Stooges,Fox,44300000.0,10500000,2012
tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366.0,Tangled,BV,200800000.0,391000000,2010
tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792.0,John Carter,BV,73100000.0,211100000,2012
tt0409379,In Secret,In Secret,2013,107.0,"Crime,Drama,Thriller",6.2,7045.0,In Secret,RAtt.,444000.0,,2014
tt0409847,Cowboys & Aliens,Cowboys & Aliens,2011,119.0,"Action,Sci-Fi,Thriller",6.0,195889.0,Cowboys & Aliens,Uni.,100200000.0,74600000,2011
tt0419692,Disconnect,Disconnect,2010,112.0,"Drama,Mystery,Sci-Fi",4.5,190.0,Disconnect,LD,1400000.0,,2013
tt1433811,Disconnect,Disconnect,2012,115.0,"Drama,Thriller",7.5,70051.0,Disconnect,LD,1400000.0,,2013
tt8413566,Disconnect,Disconnect,2018,107.0,"Comedy,Romance",8.1,15.0,Disconnect,LD,1400000.0,,2013
tt0420293,The Stanford Prison Experiment,The Stanford Prison Experiment,2015,122.0,"Biography,Drama,History",6.9,32591.0,The Stanford Prison Experiment,IFC,661000.0,,2015
tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,5.9,91546.0,Dinner for Schmucks,P/DW,73000000.0,13800000,2010
tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256.0,The A-Team,Fox,77200000.0,100000000,2010
tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",5.9,53649.0,The Possession,LGF,49100000.0,36300000,2012
tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",7.1,283534.0,Real Steel,BV,85500000.0,213800000,2011
tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",6.5,104999.0,The Giver,Wein.,45100000.0,21900000,2014
