tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year
tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248,26,2012-12-31,Foodfight!,45000000,0,73706,2012
tt0326592,The Overnight,The Overnight,2010,88.0,MISSING,7.5,24,21,2015-06-19,The Overnight,200000,1109808,1165996,2015
tt3844362,The Overnight,The Overnight,2015,79.0,"Comedy,Mystery",6.1,14828,21,2015-06-19,The Overnight,200000,1109808,1165996,2015
tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886,17,2013-03-22,On the Road,25000000,720828,9313302,2013
tt4339118,On the Road,On the Road,2014,89.0,Drama,6.0,6,17,2013-03-22,On the Road,25000000,720828,9313302,2013
tt5647250,On the Road,On the Road,2016,121.0,Drama,5.7,127,17,2013-03-22,On the Road,25000000,720828,9313302,2013
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300,37,2013-12-25,The Secret Life of Walter Mitty,91000000,58236838,187861183,2013
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116,67,2014-09-19,A Walk Among the Tombstones,28000000,26017685,62108587,2014
tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338,34,2015-06-12,Jurassic World,215000000,652270625,1648854864,2015
tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787,16,2011-10-28,The Rum Diary,45000000,13109815,21544732,2011
tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570,4,2012-04-13,The Three Stooges,30000000,44338224,54052249,2012
tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",5.5,106,65,2010-12-31,Anderson's Cross,300000,0,0,2010
tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,15,2010-11-24,Tangled,260000000,200821936,586477240,2010
tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792,14,2012-03-09,John Carter,275000000,73058679,282778100,2012
tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,5.9,91546,51,2010-07-30,Dinner for Schmucks,69000000,73026337,86796502,2010
tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256,32,2010-06-11,The A-Team,110000000,77222099,177241171,2010
tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",5.9,53649,81,2012-08-31,The Possession,14000000,49130588,82925064,2012
tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",7.1,283534,31,2011-10-07,Real Steel,110000000,85463309,263880341,2011
tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",6.5,104999,2,2014-08-15,The Giver,25000000,45090374,66540205,2014
tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218,47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,2010
tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi",7.5,88207,24,2019-02-14,Alita: Battle Angel,170000000,85710210,402976036,2019
tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",7.4,228701,73,2012-11-09,Lincoln,65000000,182207973,273346281,2012
tt0443465,Before We Go,Before We Go,2014,95.0,"Comedy,Drama,Romance",6.8,45181,52,2015-09-04,Before We Go,3000000,37151,483938,2015
tt4453750,Before We Go,Before We Go,2014,84.0,"Documentary,Drama,News",7.0,22,52,2015-09-04,Before We Go,3000000,37151,483938,2015
tt0443533,The History of Love,The History of Love,2016,134.0,"Drama,Romance,War",6.3,1024,12,2016-11-18,The History of Love,20000000,0,476624,2016
tt0448115,Shazam!,Shazam!,2019,132.0,"Action,Adventure,Comedy",7.4,109051,97,2019-04-05,Shazam!,85000000,139606856,362899733,2019
tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"Action,Adventure,Animation",6.6,133355,46,2011-10-28,Puss in Boots,130000000,149260504,554987477,2011
tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",7.5,487527,55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017
tt4028068,Wonder Woman,Wonder Woman,2014,60.0,Sci-Fi,4.2,20,55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017
tt4283448,Wonder Woman,Wonder Woman,2016,75.0,"Documentary,Drama,Sport",6.9,13,55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017
tt0453562,42,42,2013,128.0,"Biography,Drama,Sport",7.5,77703,22,2013-04-12,42,31000000,95020213,97470701,2013
tt0454876,Life of Pi,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836,88,2012-11-21,Life of Pi,120000000,124987022,620912003,2012
tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",6.5,104465,36,2010-02-26,The Crazies,19000000,39123589,56445534,2010
tt0455944,The Equalizer,The Equalizer,2014,132.0,"Action,Crime,Thriller",7.2,302302,96,2014-09-26,The Equalizer,55000000,101530738,192903624,2014
tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137,10,2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,2011
tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",6.5,140666,16,2014-08-22,Sin City: A Dame to Kill For,65000000,13757804,40650842,2014
tt0464054,House at the End of the Drive,House at the End of the Drive,2014,91.0,"Horror,Thriller",6.5,331,28,2014-12-31,House at the End of the Drive,1400000,0,0,2014
tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",5.4,81327,52,2010-08-20,Piranha 3D,24000000,25003155,83660160,2010
tt0466893,Margaret,Margaret,2011,150.0,Drama,6.5,14708,27,2011-09-30,Margaret,14000000,47185,623292,2011
tt0470752,Ex Machina,Ex Machina,2014,108.0,"Drama,Mystery,Sci-Fi",7.7,424542,72,2015-04-10,Ex Machina,13000000,25440971,38358392,2015
tt0471042,Tower Heist,Tower Heist,2011,104.0,"Action,Comedy,Crime",6.2,125102,5,2011-11-04,Tower Heist,85000000,78046570,150422946,2011
tt0472181,The Smurfs,The Smurfs,2011,103.0,"Adventure,Animation,Comedy",5.5,77577,20,2011-07-29,The Smurfs,110000000,142614158,563749323,2011
tt0472399,The Mechanic,The Mechanic,2011,93.0,"Action,Crime,Thriller",6.6,141254,42,2011-01-28,The Mechanic,42500000,29121498,76347393,2011
tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,106.0,"Comedy,Drama,Music",6.3,111422,22,2016-02-05,"Hail, Caesar!",22000000,30080225,64160680,2016
tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",6.8,173019,19,2010-11-12,Unstoppable,95000000,81562942,165720921,2010
tt3070502,Unstoppable,Unstoppable,2013,65.0,Documentary,4.3,551,19,2010-11-12,Unstoppable,95000000,81562942,165720921,2010
tt9906218,Unstoppable,Unstoppable,2019,84.0,Documentary,8.1,8,19,2010-11-12,Unstoppable,95000000,81562942,165720921,2010
tt0478304,The Tree of Life,The Tree of Life,2011,139.0,"Drama,Fantasy",6.8,156266,24,2011-05-27,The Tree of Life,35000000,13305665,61721826,2011
tt0478970,Ant-Man,Ant-Man,2015,117.0,"Action,Adventure,Comedy",7.3,501213,43,2015-07-17,Ant-Man,130000000,180202163,518858449,2015
